Name,N,tokens_prompt,tokens_candidates,tokens_total,results
N3_20250908_112757_test1,3,544,68,2475,ok
N3_20250908_112827_test2,3,544,68,3929,ok
N3_20250908_112850_test3,3,544,68,2995,ok
N3_20250908_112914_test4,3,544,68,3062,ok
N3_20250908_112937_test5,3,544,68,2665,ok
N3_20250908_113002_test6,3,544,68,2969,ok
N3_20250908_113022_test7,3,544,68,2645,ok
N3_20250908_113043_test8,3,544,68,2577,ok
N3_20250908_113104_test9,3,544,68,2646,ok
N3_20250908_113125_test10,3,544,68,2535,ok
N4_20250908_113417_test1,4,544,140,8478,ok
N4_20250908_113451_test2,4,544,140,4482,ok
N4_20250908_113558_test3,4,544,140,8570,ok
N4_20250908_113634_test4,4,544,140,4738,ok
N4_20250908_113710_test5,4,544,140,4533,ok
N4_20250908_113748_test6,4,544,140,5060,ok
N4_20250908_113828_test7,4,544,140,5110,ok
N4_20250908_113906_test8,4,544,140,5434,ok
N4_20250908_113939_test9,4,544,140,4210,ok
N4_20250908_114004_test10,4,544,135,3486,ok
N5_20250908_114056_test1,5,544,284,6626,ok
N5_20250908_114147_test2,5,544,279,6544,ok
N5_20250908_114249_test3,5,544,279,8409,ok
N5_20250908_114347_test4,5,544,284,7769,ok
N5_20250908_114443_test5,5,544,284,7074,ok
N5_20250908_114535_test6,5,544,349,7037,ok
N5_20250908_114620_test7,5,544,283,6125,ok
N5_20250908_114740_test8,5,544,284,11042,ok
N5_20250908_114830_test9,5,544,284,6793,ok
N5_20250908_114919_test10,5,544,283,6960,ok
N6_20250908_115038_test1,6,544,572,11136,ok
N6_20250908_115148_test2,6,544,567,9350,ok
N6_20250908_115301_test3,6,544,572,9833,ok
N6_20250908_115422_test4,6,544,567,10725,ok
N6_20250908_115611_test5,6,544,567,14830,ok
N6_20250908_115741_test6,6,544,572,12804,ok
N6_20250908_115847_test7,6,544,572,8664,ok
N6_20250908_120022_test8,6,544,572,13266,ok
N6_20250908_120159_test9,6,544,567,13159,ok
